Date,Open,High,Low,Close,Volume
2018-01-31,735.619,794.629,710.445,716.213,161283790.46989
2018-02-28,719.888,720.672,592.17,611.574,139971566.01004
2018-03-31,603.449,604.23,527.656,568.766,143082133.19063
2018-04-30,567.18,646.084,540.967,618.022,130198100.24306
2018-05-31,614.844,660.117,573.797,587.569,124843658.84667
2018-06-30,585.45,625.432,566.651,582.275,139868437.67774
2018-07-31,578.831,584.391,544.936,569.03,131187206.99111
2018-08-31,575.919,580.949,531.169,555,154465307.25975
2018-09-30,551.821,580.154,522.434,568.511,117588835.12757
2018-10-31,566.92,576.232,470.615,485.514,172646790.34202
2018-11-30,479.128,526.213,474.337,512.648,130812784.70854
2018-12-31,525.419,542.177,426.717,449.865,141560988.59952
2019-01-31,439.226,495.887,434.702,483.65,101798825.68762
2019-02-28,483.387,493.229,458.378,466.889,113516867.772
2019-03-31,465.299,466.356,425.652,434.148,112107083.39659
2019-04-30,438.959,516.849,438.959,507.484,114987833.69457
2019-05-31,505.344,507.753,433.61,439.765,117028137.75944
2019-06-30,431.467,464.119,417.816,462.784,120764219.94175
2019-07-31,474.562,508.555,471.615,487.944,135289743.15506
2019-08-31,481.516,487.142,412.732,424.51,128212851.12248
2019-09-30,426.38,504.352,424.776,488.388,138038232.49892
2019-10-31,488.388,548.454,479.19,531.136,127762588.05213
2019-11-30,521.939,559.01,504.894,508.409,124858781.04626
2019-12-31,511.387,551.162,509.221,536.007,92670325.957189
2020-01-31,527.621,530.057,477.568,480.001,92841448.429812
2020-02-29,463.495,488.657,412.898,417.766,115363100.79275
2020-03-31,414.25,437.521,295.198,353.329,260367804.54352
2020-04-30,350.032,413.502,339.041,392.893,156282705.03378
2020-05-31,383.551,451.965,353.604,426.685,133747738.37668
2020-06-30,425.039,456.363,400.863,416.523,140382109.22923
2020-07-31,417.896,423.938,371.741,373.659,115056993.68044
2020-08-31,383.279,461.858,383.279,455.538,147884176.68753
2020-09-30,457.46,529.719,451.965,499.225,163465935.69801
2020-10-31,507.463,557.746,499.225,526.151,120038935.59462
2020-11-30,523.949,641.545,523.674,625.332,134985244.57169
2020-12-31,622.31,680.281,599.234,659.949,128952852.1577
2021-01-31,662.15,750.069,644.291,661.05,130481873.80965
2021-02-28,663.799,866.837,663.799,839.36,166774764.20818
2021-03-31,833.869,1131.97,813.535,1045.57,288449398.01266
2021-04-30,1064.96,1193.75,997.096,1188.21,263711000.15309
2021-05-31,1188.21,1289.3,1156.36,1250.53,232124111.23257
2021-06-30,1244.99,1606.44,1238.07,1559.36,267026854.14995
2021-07-31,1551.05,1639.68,1409.79,1628.6,250702485.31361
2021-08-31,1708.92,2462.29,1675.68,2456.75,903576651.64014
2021-09-30,2459.52,3129.79,2329.11,2365.5,808883712.05715
2021-10-31,2281.52,2449.48,1959.59,2289.92,1029491766.4822
2021-11-30,2351.5,2502.67,2001.58,2071.56,489598638.55209
2021-12-31,2110.76,2488.68,2068.77,2452.28,490016933.79941
2022-01-31,2471.88,2765.82,2231.13,2491.48,552458989.7983
2022-02-28,2575.46,2989.77,2463.48,2986.97,767258784.77246
2022-03-31,3068.15,3496.46,2811.27,3184.13,1055577969.664
2022-04-30,3148.62,3148.62,2565.65,2799.42,562667478.16187
2022-05-31,2826.06,3409.03,2704.74,3166.37,571254522.04471
2022-06-30,3184.13,3261.06,2604.12,2743.2,410774698.66949
2022-07-31,2743.2,3124.94,2627.79,3077.6,289486209.80911
2022-08-31,3113.11,3281.78,3048,3163.41,360161794.90524
2022-09-30,3139.74,3142.7,2422,2467,484591101.88029
2022-10-31,2429,2873,2422,2699,296597100
2022-11-30,2701,3041,2502,3037,256628300
2022-12-31,3084,3275,2969,3110,252285400
2023-01-31,3012,3168,2857.5,3106,111854600
